# GASP-derived aerodynamics data converted from GASP_aero_ground.txt
# Incremental Lift and Drag Coeff. for Ground Effects
# Reference Area = 1370. sqft / Flap Deflection = 10 deg (T.O. Setting)

Mach, Angle of Attack (deg),        Hob,   Delta CL,   Delta CD
 0.3,                   4.0,        3.0,        0.0,       -0.0
 0.3,                   6.0,       0.05,    0.18669,   -0.01995
 0.3,                   6.0,        0.1,    0.13383,    -0.0131
 0.3,                   6.0,        0.2,    0.08349,   -0.00651
 0.3,                   6.0,        0.3,    0.05403,    -0.0037
 0.3,                   6.0,        0.4,    0.03573,   -0.00228
 0.3,                   6.0,        0.5,      0.024,   -0.00148
 0.3,                   6.0,        0.6,     0.0163,   -0.00101
 0.3,                   6.0,        0.8,    0.00768,   -0.00051
 0.3,                   6.0,        1.0,    0.00364,   -0.00028
 0.3,                   6.0,        1.5,    0.00044,     -8e-05
 0.3,                   6.0,        2.0,        0.0,     -3e-05
 0.3,                   6.0,        3.0,        0.0,       -0.0
 0.3,                   8.0,       0.05,    0.21559,   -0.02826
