# created 04/22/25
# FLOPS-derived engine deck converted from turbofan_28_ENGDEK

Mach Number, Altitude (ft),   Throttle, Gross Thrust (lbf), Ram Drag (lbf), Fuel Flow (lb/h), NOx Rate (lb/h)
        0.3,       10000.0,       34.0,            14002.0,         6133.6,           3177.8,           15.24
        0.3,       10000.0,       38.0,            16824.1,         6707.5,           4018.5,           17.59
        0.3,       10000.0,       42.0,            19583.3,         7218.6,           4904.6,          19.693
        0.3,       10000.0,       46.0,            22288.8,         7676.1,           5867.0,          26.947
        0.3,       10000.0,       48.0,            23624.2,         7887.9,           6378.4,          42.083
        0.3,       10000.0,       50.0,            24949.6,         8088.6,           6913.7,          57.381
        0.3,       15000.0,       21.0,             3479.6,         2788.1,            567.1,          10.753
        0.3,       15000.0,       22.0,             4151.5,         3045.2,            705.0,          7.7596
        0.3,       15000.0,       24.0,             5409.3,         3473.3,            985.3,          5.6485
        0.3,       15000.0,       26.0,             6597.7,         3831.9,           1267.2,           7.317
        0.3,       15000.0,       30.0,             9100.3,         4490.8,           1900.3,          10.236
        0.3,       15000.0,       34.0,            11486.0,         5032.6,           2558.6,           13.48
        0.3,       15000.0,       38.0,            13801.0,         5503.8,           3231.5,          15.733
        0.3,       15000.0,       42.0,            16064.5,         5923.6,           3939.7,          17.744
        0.3,       15000.0,       46.0,            18284.0,         6299.3,           4708.7,          19.683
        0.3,       15000.0,       48.0,            19379.7,         6473.2,           5117.8,          21.325
        0.3,       15000.0,       50.0,            20466.5,         6637.9,           5546.1,           30.41
       0.35,           0.0,       21.0,             7566.3,         6374.0,           1096.3,          5.9318
       0.35,           0.0,       22.0,             8770.7,         6863.1,           1379.4,          7.2407
       0.35,           0.0,       24.0,            11031.6,         7693.3,           1932.5,          9.3656
       0.35,           0.0,       26.0,            13168.6,         8399.6,           2472.9,          11.765
       0.35,           0.0,       30.0,            17653.6,         9705.4,           3720.3,          15.291
       0.35,           0.0,       34.0,            21914.4,        10786.9,           5002.2,          18.152
       0.35,           0.0,       38.0,            26037.3,        11730.5,           6310.8,          20.585
       0.35,           0.0,       42.0,            30057.1,        12571.0,           7691.3,          43.121
       0.35,           0.0,       46.0,            33993.9,        13328.4,           9155.7,           67.99
       0.35,           0.0,       48.0,            35932.2,        13677.3,           9939.7,          76.316
       0.35,           0.0,       50.0,            37853.7,        14009.0,          10755.8,          81.718
       0.35,        2000.0,       21.0,             7039.8,         5932.0,            999.1,          5.7509
       0.35,        2000.0,       22.0,             8159.4,         6386.9,           1257.8,          7.0693
       0.35,        2000.0,       24.0,            10260.8,         7159.0,           1763.3,          9.2076
       0.35,        2000.0,       26.0,            12247.3,         7816.1,           2255.9,          11.585
       0.35,        2000.0,       30.0,            16416.2,         9030.9,           3397.3,          15.126
       0.35,        2000.0,       34.0,            20375.6,        10036.0,           4575.8,          18.008
       0.35,        2000.0,       38.0,            24207.3,        10913.7,           5773.4,          20.441
       0.35,        2000.0,       42.0,            27941.9,        11694.1,           7047.4,          39.005
       0.35,        2000.0,       46.0,            31598.2,        12396.5,           8403.2,          66.444
       0.35,        2000.0,       48.0,            33398.3,        12719.4,           9133.8,          75.613
       0.35,        2000.0,       50.0,            35183.5,        13027.6,           9884.0,          81.388
       0.35,        5000.0,       21.0,             6297.7,         5306.8,            891.4,          5.1268
       0.35,        5000.0,       22.0,             7299.6,         5714.1,           1119.5,          6.4339
       0.35,        5000.0,       24.0,             9179.9,         6405.3,           1565.3,          8.5499
       0.35,        5000.0,       26.0,            10957.1,         6993.4,           2000.3,          10.262
       0.35,        5000.0,       30.0,            14686.9,         8080.8,           3006.9,          14.321
       0.35,        5000.0,       34.0,            18229.2,         8980.4,           4046.1,          17.171
       0.35,        5000.0,       38.0,            21657.4,         9766.2,           5102.9,          19.576
       0.35,        5000.0,       42.0,            24998.3,        10464.7,           6226.3,          25.926
       0.35,        5000.0,       46.0,            28269.4,        11093.1,           7421.8,           55.81
       0.35,        5000.0,       48.0,            29879.7,        11382.5,           8065.8,          67.275
       0.35,        5000.0,       50.0,            31477.1,        11658.5,           8727.8,          75.918
       0.35,       10000.0,       21.0,             5202.0,         4383.5,            735.2,           6.795
       0.35,       10000.0,       22.0,             6030.2,         4720.6,            919.0,           5.282
       0.35,       10000.0,       24.0,             7584.1,         5292.2,           1278.6,           7.346
       0.35,       10000.0,       26.0,             9052.7,         5778.6,           1629.9,          9.0072
       0.35,       10000.0,       30.0,            12134.6,         6677.8,           2441.6,          12.816
       0.35,       10000.0,       34.0,            15061.4,         7421.8,           3279.3,          15.582
       0.35,       10000.0,       38.0,            17893.8,         8071.6,           4132.1,          17.916
       0.35,       10000.0,       42.0,            20654.1,         8649.1,           5037.3,          20.024
       0.35,       10000.0,       46.0,            23357.0,         9169.2,           6000.8,          29.598
       0.35,       10000.0,       48.0,            24688.2,         9408.4,           6520.4,          45.942
       0.35,       10000.0,       50.0,            26007.2,         9636.6,           7053.3,          59.554
       0.35,       15000.0,       21.0,             4265.5,         3594.1,            604.8,          9.6899
       0.35,       15000.0,       22.0,             4945.3,         3871.2,            751.6,          6.6744
       0.35,       15000.0,       24.0,             6220.4,         4340.7,           1039.2,          6.0427
       0.35,       15000.0,       26.0,             7425.3,         4740.1,           1320.6,          7.6429
       0.35,       15000.0,       30.0,             9953.9,         5478.5,           1969.8,          10.871
       0.35,       15000.0,       34.0,            12355.2,         6089.6,           2639.9,          13.806
       0.35,       15000.0,       38.0,            14678.8,         6623.1,           3322.2,          16.041
       0.35,       15000.0,       42.0,            16943.3,         7097.5,           4045.6,          18.057
       0.35,       15000.0,       46.0,            19160.5,         7524.6,           4816.5,          19.961
       0.35,       15000.0,       48.0,            20251.7,         7720.9,           5231.4,          22.662
       0.35,       15000.0,       50.0,            21334.5,         7908.4,           5657.5,          33.192
        0.4,        2000.0,       21.0,             8528.1,         7446.9,           1080.6,          6.2764
        0.4,        2000.0,       22.0,             9658.0,         7928.2,           1353.5,          7.5936
        0.4,        2000.0,       24.0,            11784.7,         8757.4,           1878.4,          9.7055
        0.4,        2000.0,       26.0,            13797.7,         9473.0,           2382.4,          12.101
        0.4,        2000.0,       30.0,            18018.9,        10811.1,           3529.2,          15.538
        0.4,        2000.0,       34.0,            22012.9,        11922.0,           4732.9,          18.404
        0.4,        2000.0,       38.0,            25869.2,        12895.0,           5956.0,           20.83
        0.4,        2000.0,       42.0,            29617.1,        13759.9,           7260.5,          44.558
        0.4,        2000.0,       46.0,            33282.9,        14542.5,           8623.9,          69.274
        0.4,        2000.0,       48.0,            35081.9,        14900.1,           9368.5,          77.682
        0.4,        2000.0,       50.0,            36867.3,        15243.9,          10120.0,          82.629
        0.4,        5000.0,       21.0,             7629.4,         6662.3,            963.1,          5.6477
        0.4,        5000.0,       22.0,             8640.5,         7093.1,           1203.9,          6.9524
        0.4,        5000.0,       24.0,            10543.4,         7835.5,           1666.8,          9.0427
        0.4,        5000.0,       26.0,            12344.4,         8476.0,           2111.2,          11.188
        0.4,        5000.0,       30.0,            16121.1,         9673.7,           3123.3,          14.728
        0.4,        5000.0,       34.0,            19694.5,        10668.0,           4184.8,           17.56
        0.4,        5000.0,       38.0,            23144.4,        11539.2,           5263.3,          19.957
        0.4,        5000.0,       42.0,            26497.4,        12313.3,           6414.0,          29.514
        0.4,        5000.0,       46.0,            29777.0,        13014.0,           7616.7,          59.083
        0.4,        5000.0,       48.0,            31386.7,        13333.9,           8272.8,          70.033
        0.4,        5000.0,       50.0,            32983.8,        13641.9,           8936.1,           77.81
        0.4,       10000.0,       21.0,             6302.4,         5503.6,            792.8,          5.5515
        0.4,       10000.0,       22.0,             7138.3,         5860.2,            987.2,          5.7899
        0.4,       10000.0,       24.0,             8710.6,         6473.9,           1360.1,          7.8236
        0.4,       10000.0,       26.0,            10198.9,         7003.7,           1718.7,          9.4457
        0.4,       10000.0,       30.0,            13319.7,         7994.3,           2535.4,          13.209
        0.4,       10000.0,       34.0,            16272.3,         8816.6,           3391.4,          15.957
        0.4,       10000.0,       38.0,            19122.7,         9537.0,           4262.0,          18.284
        0.4,       10000.0,       42.0,            21893.2,        10177.2,           5188.5,          20.395
        0.4,       10000.0,       46.0,            24602.9,        10756.8,           6158.4,          33.244
        0.4,       10000.0,       48.0,            25932.9,        11021.4,           6687.2,          50.261
        0.4,       10000.0,       50.0,            27252.3,        11276.0,           7221.2,          62.314
        0.4,       15000.0,       21.0,             5168.0,         4512.9,            650.8,          8.4556
        0.4,       15000.0,       22.0,             5854.1,         4806.0,            806.0,          5.4657
        0.4,       15000.0,       24.0,             7144.6,         5310.3,           1104.8,           6.507
        0.4,       15000.0,       26.0,             8365.6,         5745.3,           1391.4,           8.064
        0.4,       15000.0,       30.0,            10925.8,         6558.6,           2044.8,          11.526
        0.4,       15000.0,       34.0,            13348.1,         7234.0,           2729.6,          14.163
        0.4,       15000.0,       38.0,            15686.6,         7825.6,           3426.3,          16.392
